,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
429,2018,3,Santiago Del Estero,86,2.0,86
430,2018,3,Tierra Del Fuego,45,508.0,46
431,2018,3,Tucumán,171,31.0,171
432,2018,2,Buenos Aires,3,11.0,4
433,2018,2,Capital Federal,1,7.0,1
434,2018,2,Catamarca,34,11.0,34
435,2018,2,Chaco,99,12.0,99
436,2018,2,Chubut,98,2.0,101
437,2018,2,Córdoba,713,94.0,713
438,2018,2,Corrientes,98,11.0,98
439,2018,2,Entre Ríos,200,48.0,200
440,2018,2,Formosa,45,,45
441,2018,2,Jujuy,45,1.0,45
442,2018,2,La Pampa,82,244.0,82
443,2018,2,La Rioja,52,17.0,52
444,2018,2,Mendoza,199,1.0,201
445,2018,2,Misiones,106,,106
446,2018,2,Neuquén,114,2.0,116
447,2018,2,Río Negro,111,1.0,112
448,2018,2,Salta,134,1.0,134
449,2018,2,San Juan,63,658.0,64
450,2018,2,San Luis,21,300.0,21
451,2018,2,Santa Cruz,34,435.0,34
452,2018,2,Santa Fe,684,309.0,685
453,2018,2,Santiago Del Estero,84,2.0,84
454,2018,2,Tierra Del Fuego,44,508.0,45
455,2018,2,Tucumán,170,31.0,170
456,2018,1,Buenos Aires,3,11.0,3
457,2018,1,Capital Federal,1,7.0,1
458,2018,1,Catamarca,34,11.0,34
459,2018,1,Chaco,97,12.0,97
460,2018,1,Chubut,96,2.0,98
461,2018,1,Córdoba,714,101.0,714
462,2018,1,Corrientes,94,11.0,94
463,2018,1,Entre Ríos,197,48.0,197
464,2018,1,Formosa,32,0.0,32
465,2018,1,Jujuy,44,1.0,44
466,2018,1,La Pampa,83,396.0,83
467,2018,1,La Rioja,52,17.0,52
468,2018,1,Mendoza,199,1.0,201
469,2018,1,Misiones,104,0.0,104
470,2018,1,Neuquén,116,2.0,118
471,2018,1,Río Negro,110,1.0,111
472,2018,1,Salta,133,1.0,133
473,2018,1,San Juan,63,658.0,63
474,2018,1,San Luis,21,300.0,21
475,2018,1,Santa Cruz,34,435.0,34
476,2018,1,Santa Fe,680,309.0,680
477,2018,1,Santiago Del Estero,83,2.0,83
478,2018,1,Tierra Del Fuego,31,508.0,32
479,2018,1,Tucumán,168,31.0,168
480,2017,4,Buenos Aires,3,11.0,3
481,2017,4,Capital Federal,2,7.0,2
482,2017,4,Catamarca,30,10.0,30
483,2017,4,Chaco,97,12.0,97
484,2017,4,Chubut,91,2.0,93
485,2017,4,Córdoba,710,105.0,710
486,2017,4,Corrientes,94,11.0,94
487,2017,4,Entre Ríos,194,49.0,194
488,2017,4,Formosa,32,0.0,32
489,2017,4,Jujuy,44,1.0,44
490,2017,4,La Pampa,82,396.0,82
491,2017,4,La Rioja,52,17.0,52
492,2017,4,Mendoza,179,1.0,180
493,2017,4,Misiones,104,0.0,104
494,2017,4,Neuquén,115,2.0,117
495,2017,4,Río Negro,109,1.0,110
496,2017,4,Salta,133,1.0,133
497,2017,4,San Juan,58,659.0,59
498,2017,4,San Luis,15,300.0,15
499,2017,4,Santa Cruz,29,434.0,29
500,2017,4,Santa Fe,672,323.0,672
501,2017,4,Santiago Del Estero,69,2.0,69
502,2017,4,Tierra Del Fuego,28,508.0,29
503,2017,4,Tucumán,162,34.0,162
504,2017,3,Buenos Aires,3,11.0,3
505,2017,3,Capital Federal,2,7.0,2
506,2017,3,Catamarca,33,11.0,33
507,2017,3,Chaco,94,12.0,94
508,2017,3,Chubut,81,2.0,84
509,2017,3,Córdoba,697,108.0,697
510,2017,3,Corrientes,93,12.0,93
511,2017,3,Entre Ríos,185,50.0,185
512,2017,3,Formosa,32,0.0,32
513,2017,3,Jujuy,43,1.0,43
514,2017,3,La Pampa,79,410.0,80
515,2017,3,La Rioja,52,17.0,52
516,2017,3,Mendoza,191,2.0,192
517,2017,3,Misiones,100,0.0,100
518,2017,3,Neuquén,114,2.0,116
519,2017,3,Río Negro,106,1.0,107
520,2017,3,Salta,133,1.0,133
521,2017,3,San Juan,62,660.0,62
522,2017,3,San Luis,21,311.0,22
523,2017,3,Santa Cruz,33,468.0,34
524,2017,3,Santa Fe,662,256.0,662
525,2017,3,Santiago Del Estero,83,2.0,83
526,2017,3,Tierra Del Fuego,31,583.0,31
527,2017,3,Tucumán,161,33.0,161
528,2017,2,Buenos Aires,3,11.0,3
529,2017,2,Capital Federal,2,8.0,2
530,2017,2,Catamarca,27,13.0,27
531,2017,2,Chaco,91,14.0,91
532,2017,2,Chubut,62,2.0,64
533,2017,2,Córdoba,658,133.0,658
534,2017,2,Corrientes,90,12.0,90
535,2017,2,Entre Ríos,183,57.0,183
536,2017,2,Formosa,30,0.0,30
537,2017,2,Jujuy,43,1.0,43
538,2017,2,La Pampa,73,449.0,73
539,2017,2,La Rioja,16,18.0,16
540,2017,2,Mendoza,169,1.0,171
541,2017,2,Misiones,100,0.0,100
542,2017,2,Neuquén,115,2.0,117
543,2017,2,Río Negro,101,998.0,102
544,2017,2,Salta,109,1.0,109
545,2017,2,San Juan,51,620.0,52
546,2017,2,San Luis,13,315.0,13
547,2017,2,Santa Cruz,26,369.0,26
548,2017,2,Santa Fe,567,362.0,567
549,2017,2,Santiago Del Estero,33,2.0,33
550,2017,2,Tierra Del Fuego,32,619.0,33
551,2017,2,Tucumán,154,37.0,154
552,2017,1,Buenos Aires,3,11.0,3
553,2017,1,Capital Federal,1,8.0,1
554,2017,1,Catamarca,26,13.0,26
555,2017,1,Chaco,89,14.0,89
556,2017,1,Chubut,62,2.0,64
557,2017,1,Córdoba,641,133.0,641
558,2017,1,Corrientes,89,12.0,89
559,2017,1,Entre Ríos,180,57.0,180
560,2017,1,Formosa,30,0.0,30
561,2017,1,Jujuy,43,1.0,43
562,2017,1,La Pampa,71,455.0,72
563,2017,1,La Rioja,16,18.0,16
564,2017,1,Mendoza,169,1.0,171
565,2017,1,Misiones,98,0.0,98
566,2017,1,Neuquén,113,2.0,115
567,2017,1,Río Negro,100,1.0,101
568,2017,1,Salta,108,1.0,108
569,2017,1,San Juan,51,620.0,52
570,2017,1,San Luis,13,315.0,13
571,2017,1,Santa Cruz,26,370.0,26
572,2017,1,Santa Fe,563,362.0,563
573,2017,1,Santiago Del Estero,34,2.0,34
574,2017,1,Tierra Del Fuego,32,619.0,33
575,2017,1,Tucumán,153,37.0,153
576,2016,4,Buenos Aires,3,11.0,3
577,2016,4,Capital Federal,1,8.0,1
578,2016,4,Catamarca,27,13.0,27
579,2016,4,Chaco,89,14.0,89
580,2016,4,Chubut,62,2.0,64
581,2016,4,Córdoba,636,133.0,637
582,2016,4,Corrientes,88,12.0,88
583,2016,4,Entre Ríos,180,57.0,180
584,2016,4,Formosa,30,0.0,30
585,2016,4,Jujuy,43,1.0,43
586,2016,4,La Pampa,71,460.0,72
587,2016,4,La Rioja,16,18.0,16
588,2016,4,Mendoza,169,1.0,171
589,2016,4,Misiones,97,0.0,97
590,2016,4,Neuquén,112,2.0,114
591,2016,4,Río Negro,100,1.0,101
592,2016,4,Salta,107,1.0,107
593,2016,4,San Juan,51,620.0,52
594,2016,4,San Luis,13,315.0,13
595,2016,4,Santa Cruz,26,370.0,26
596,2016,4,Santa Fe,561,362.0,562
597,2016,4,Santiago Del Estero,35,2.0,35
598,2016,4,Tierra Del Fuego,32,619.0,33
599,2016,4,Tucumán,152,37.0,152
600,2016,3,Buenos Aires,3,11.0,3
601,2016,3,Capital Federal,1,8.0,1
602,2016,3,Catamarca,27,13.0,27
603,2016,3,Chaco,89,14.0,89
604,2016,3,Chubut,62,2.0,64
605,2016,3,Córdoba,642,133.0,643
606,2016,3,Corrientes,88,12.0,88
607,2016,3,Entre Ríos,181,57.0,181
608,2016,3,Formosa,28,0.0,28
609,2016,3,Jujuy,43,1.0,43
610,2016,3,La Pampa,70,461.0,70
611,2016,3,La Rioja,17,18.0,17
612,2016,3,Mendoza,169,1.0,171
613,2016,3,Misiones,98,0.0,98
614,2016,3,Neuquén,110,2.0,113
615,2016,3,Río Negro,100,1.0,101
616,2016,3,Salta,108,1.0,108
617,2016,3,San Juan,51,620.0,52
618,2016,3,San Luis,13,315.0,13
619,2016,3,Santa Cruz,26,371.0,26
620,2016,3,Santa Fe,567,386.0,567
621,2016,3,Santiago Del Estero,36,2.0,36
622,2016,3,Tierra Del Fuego,31,619.0,32
623,2016,3,Tucumán,151,37.0,151
624,2016,2,Buenos Aires,3,13.0,3
625,2016,2,Capital Federal,1,10.0,1
626,2016,2,Catamarca,27,13.0,27
627,2016,2,Chaco,88,16.0,88
628,2016,2,Chubut,62,2.0,64
629,2016,2,Córdoba,635,234.0,635
630,2016,2,Corrientes,87,24.0,87
631,2016,2,Entre Ríos,178,179.0,178
632,2016,2,Formosa,29,1.0,29
633,2016,2,Jujuy,41,2.0,41
634,2016,2,La Pampa,68,485.0,69
635,2016,2,La Rioja,17,18.0,17
636,2016,2,Mendoza,169,2.0,171
637,2016,2,Misiones,96,7.0,96
638,2016,2,Neuquén,108,2.0,111
639,2016,2,Río Negro,100,1.0,101
640,2016,2,Salta,105,3.0,105
641,2016,2,San Juan,51,621.0,52
642,2016,2,San Luis,13,317.0,13
643,2016,2,Santa Cruz,26,356.0,26
644,2016,2,Santa Fe,564,607.0,564
645,2016,2,Santiago Del Estero,37,3.0,37
646,2016,2,Tierra Del Fuego,31,619.0,31
647,2016,2,Tucumán,149,41.0,149
648,2016,1,Buenos Aires,3,13.0,3
649,2016,1,Capital Federal,1,10.0,1
650,2016,1,Catamarca,26,13.0,26
651,2016,1,Chaco,87,16.0,87
652,2016,1,Chubut,62,2.0,64
653,2016,1,Córdoba,610,234.0,610
654,2016,1,Corrientes,86,26.0,86
655,2016,1,Entre Ríos,175,179.0,175
656,2016,1,Formosa,28,1.0,28
657,2016,1,Jujuy,40,2.0,40
658,2016,1,La Pampa,65,487.0,66
659,2016,1,La Rioja,17,18.0,17
660,2016,1,Mendoza,169,2.0,171
661,2016,1,Misiones,93,7.0,93
662,2016,1,Neuquén,102,2.0,104
663,2016,1,Río Negro,99,1.0,100
664,2016,1,Salta,102,3.0,102
665,2016,1,San Juan,51,621.0,52
666,2016,1,San Luis,13,317.0,13
667,2016,1,Santa Cruz,26,356.0,26
668,2016,1,Santa Fe,551,618.0,552
669,2016,1,Santiago Del Estero,38,3.0,38
670,2016,1,Tierra Del Fuego,30,619.0,30
671,2016,1,Tucumán,147,41.0,147
672,2015,4,Buenos Aires,3,13.0,3
673,2015,4,Capital Federal,1,10.0,1
674,2015,4,Catamarca,26,13.0,26
675,2015,4,Chaco,87,16.0,87
676,2015,4,Chubut,62,2.0,64
677,2015,4,Córdoba,626,235.0,626
678,2015,4,Corrientes,85,26.0,85
679,2015,4,Entre Ríos,174,180.0,174
680,2015,4,Formosa,28,1.0,28
681,2015,4,Jujuy,40,2.0,40
682,2015,4,La Pampa,66,312.0,66
683,2015,4,La Rioja,17,18.0,17
684,2015,4,Mendoza,169,2.0,171
685,2015,4,Misiones,93,7.0,93
686,2015,4,Neuquén,105,2.0,107
687,2015,4,Río Negro,99,1.0,100
688,2015,4,Salta,102,3.0,102
689,2015,4,San Juan,51,621.0,52
690,2015,4,San Luis,13,317.0,13
691,2015,4,Santa Cruz,26,356.0,26
692,2015,4,Santa Fe,561,627.0,562
693,2015,4,Santiago Del Estero,39,3.0,39
694,2015,4,Tierra Del Fuego,29,619.0,30
695,2015,4,Tucumán,146,42.0,146
696,2015,3,Buenos Aires,3,13.0,3
697,2015,3,Capital Federal,1,10.0,1
698,2015,3,Catamarca,26,13.0,26
699,2015,3,Chaco,85,16.0,85
700,2015,3,Chubut,62,2.0,64
701,2015,3,Córdoba,623,237.0,623
702,2015,3,Corrientes,85,28.0,85
703,2015,3,Entre Ríos,172,182.0,172
704,2015,3,Formosa,28,1.0,28
705,2015,3,Jujuy,40,2.0,40
706,2015,3,La Pampa,65,495.0,65
707,2015,3,La Rioja,17,18.0,17
708,2015,3,Mendoza,169,2.0,171
709,2015,3,Misiones,92,7.0,92
710,2015,3,Neuquén,98,2.0,101
711,2015,3,Río Negro,99,1.0,100
712,2015,3,Salta,101,3.0,101
713,2015,3,San Juan,51,621.0,52
714,2015,3,San Luis,13,317.0,13
715,2015,3,Santa Cruz,26,359.0,26
716,2015,3,Santa Fe,556,641.0,557
717,2015,3,Santiago Del Estero,39,3.0,39
718,2015,3,Tierra Del Fuego,33,619.0,34
719,2015,3,Tucumán,144,42.0,144
720,2015,2,Buenos Aires,3,13.0,3
721,2015,2,Capital Federal,1,10.0,1
722,2015,2,Catamarca,26,13.0,26
723,2015,2,Chaco,84,16.0,84
724,2015,2,Chubut,62,2.0,63
725,2015,2,Córdoba,610,236.0,610
726,2015,2,Corrientes,83,28.0,83
727,2015,2,Entre Ríos,169,183.0,169
728,2015,2,Formosa,27,37.0,27
729,2015,2,Jujuy,38,2.0,38
730,2015,2,La Pampa,64,500.0,64
731,2015,2,La Rioja,16,18.0,17
732,2015,2,Mendoza,169,2.0,171
733,2015,2,Misiones,89,7.0,89
734,2015,2,Neuquén,96,2.0,98
735,2015,2,Río Negro,98,1.0,99
736,2015,2,Salta,98,3.0,98
737,2015,2,San Juan,51,621.0,52
738,2015,2,San Luis,13,317.0,13
739,2015,2,Santa Cruz,25,379.0,26
740,2015,2,Santa Fe,546,649.0,546
741,2015,2,Santiago Del Estero,39,3.0,39
742,2015,2,Tierra Del Fuego,33,619.0,34
743,2015,2,Tucumán,141,42.0,141
744,2015,1,Buenos Aires,3,15.0,3
745,2015,1,Capital Federal,1,12.0,1
746,2015,1,Catamarca,25,20.0,25
747,2015,1,Chaco,81,31.0,81
748,2015,1,Chubut,63,2.0,65
749,2015,1,Córdoba,597,294.0,597
750,2015,1,Corrientes,81,43.0,82
751,2015,1,Entre Ríos,166,231.0,166
752,2015,1,Formosa,27,43.0,27
753,2015,1,Jujuy,37,3.0,37
754,2015,1,La Pampa,62,542.0,63
755,2015,1,La Rioja,16,23.0,16
756,2015,1,Mendoza,168,2.0,170
757,2015,1,Misiones,85,7.0,85
758,2015,1,Neuquén,93,2.0,96
759,2015,1,Río Negro,96,1.0,97
760,2015,1,Salta,97,18.0,97
761,2015,1,San Juan,51,702.0,52
762,2015,1,San Luis,13,354.0,13
763,2015,1,Santa Cruz,26,424.0,27
764,2015,1,Santa Fe,536,797.0,536
765,2015,1,Santiago Del Estero,39,8.0,39
766,2015,1,Tierra Del Fuego,33,730.0,33
767,2015,1,Tucumán,138,92.0,138
768,2014,4,Buenos Aires,3,15.0,3
769,2014,4,Capital Federal,1,12.0,1
770,2014,4,Catamarca,25,21.0,25
771,2014,4,Chaco,66,37.0,66
772,2014,4,Chubut,67,2.0,69
773,2014,4,Córdoba,590,319.0,590
774,2014,4,Corrientes,66,54.0,66
775,2014,4,Entre Ríos,141,246.0,141
776,2014,4,Formosa,26,51.0,26
777,2014,4,Jujuy,36,3.0,36
778,2014,4,La Pampa,57,567.0,57
779,2014,4,La Rioja,16,23.0,16
780,2014,4,Mendoza,168,2.0,170
781,2014,4,Misiones,77,7.0,77
782,2014,4,Neuquén,93,2.0,95
783,2014,4,Río Negro,95,1.0,96
784,2014,4,Salta,94,26.0,94
785,2014,4,San Juan,51,729.0,52
786,2014,4,San Luis,13,359.0,13
787,2014,4,Santa Cruz,25,436.0,26
788,2014,4,Santa Fe,528,938.0,529
789,2014,4,Santiago Del Estero,39,9.0,39
790,2014,4,Tierra Del Fuego,28,741.0,29
791,2014,4,Tucumán,137,95.0,137
792,2014,3,Buenos Aires,3,14.0,3
793,2014,3,Capital Federal,1,11.0,1
794,2014,3,Catamarca,25,21.0,25
795,2014,3,Chaco,64,36.0,64
796,2014,3,Chubut,67,2.0,69
797,2014,3,Córdoba,585,200.0,585
798,2014,3,Corrientes,64,33.0,64
799,2014,3,Entre Ríos,137,115.0,137
800,2014,3,Formosa,26,64.0,26
801,2014,3,Jujuy,34,2.0,34
802,2014,3,La Pampa,62,564.0,62
803,2014,3,La Rioja,16,23.0,16
804,2014,3,Mendoza,166,2.0,168
805,2014,3,Misiones,75,0.0,75
806,2014,3,Neuquén,100,2.0,102
807,2014,3,Río Negro,97,1.0,98
808,2014,3,Salta,93,25.0,93
809,2014,3,San Juan,51,748.0,52
810,2014,3,San Luis,13,363.0,13
811,2014,3,Santa Cruz,26,446.0,26
812,2014,3,Santa Fe,520,691.0,521
813,2014,3,Santiago Del Estero,38,9.0,38
814,2014,3,Tierra Del Fuego,28,755.0,29
815,2014,3,Tucumán,132,88.0,132
816,2014,2,Buenos Aires,3,14.0,3
817,2014,2,Capital Federal,1,11.0,1
818,2014,2,Catamarca,25,23.0,25
819,2014,2,Chaco,63,36.0,63
820,2014,2,Chubut,69,2.0,71
821,2014,2,Córdoba,577,205.0,577
822,2014,2,Corrientes,63,33.0,63
823,2014,2,Entre Ríos,135,115.0,136
824,2014,2,Formosa,26,65.0,26
825,2014,2,Jujuy,34,2.0,34
826,2014,2,La Pampa,55,580.0,56
827,2014,2,La Rioja,16,23.0,16
828,2014,2,Mendoza,165,2.0,167
829,2014,2,Misiones,75,0.0,75
830,2014,2,Neuquén,90,2.0,92
831,2014,2,Río Negro,95,1.0,96
832,2014,2,Salta,92,25.0,92
833,2014,2,San Juan,51,755.0,52
834,2014,2,San Luis,13,364.0,13
835,2014,2,Santa Cruz,27,459.0,27
836,2014,2,Santa Fe,512,605.0,512
837,2014,2,Santiago Del Estero,38,9.0,38
838,2014,2,Tierra Del Fuego,27,766.0,28
839,2014,2,Tucumán,132,88.0,132
840,2014,1,Buenos Aires,3,14.0,3
841,2014,1,Capital Federal,1,11.0,1
842,2014,1,Catamarca,24,23.0,24
843,2014,1,Chaco,63,36.0,63
844,2014,1,Chubut,68,2.0,70
845,2014,1,Córdoba,567,205.0,567
846,2014,1,Corrientes,62,33.0,62
847,2014,1,Entre Ríos,134,115.0,134
848,2014,1,Formosa,25,87.0,25
849,2014,1,Jujuy,34,2.0,34
850,2014,1,La Pampa,54,592.0,54
851,2014,1,La Rioja,16,23.0,16
852,2014,1,Mendoza,164,2.0,166
853,2014,1,Misiones,74,0.0,74
854,2014,1,Neuquén,88,2.0,90
855,2014,1,Río Negro,94,1.0,95
856,2014,1,Salta,91,25.0,91
857,2014,1,San Juan,51,755.0,51
858,2014,1,San Luis,12,364.0,13
859,2014,1,Santa Cruz,26,460.0,27
860,2014,1,Santa Fe,506,612.0,507
861,2014,1,Santiago Del Estero,37,9.0,37
862,2014,1,Tierra Del Fuego,27,766.0,28
863,2014,1,Tucumán,130,88.0,130
