,A̱o,Trimestre,Velocidad media,Periodo
0,2022,4,10.656,Oct-Dic 2022
1,2022,3,6.246,Jul-Sept 2022
2,2022,2,5.844,Abr-Jun 2022
3,2022,1,5.511,Ene-Mar 2022
4,2021,4,5.234,Oct-Dic 2021
5,2021,3,4.846,Jul-Sept 2021
6,2021,2,4.563,Abr-Jun 2021
7,2021,1,4.311,Ene-Mar 2021
8,2020,4,4.236,Oct-Dic 2020
9,2020,3,4.067,Jul-Sept 2020
10,2020,2,3.832,Abr-Jun 2020
11,2020,1,3.752,Ene-Mar 2020
12,2019,4,2.826,Oct-Dic 2019
13,2019,3,2.418,Jul-Sept 2019
14,2019,2,2.033,Abr-Jun 2019
15,2019,1,1.738,Ene-Mar 2019
16,2018,4,1.595,Oct-Dic 2018
17,2018,3,1.536,Jul-Sept 2018
18,2018,2,1.385,Abr-Jun 2018
19,2018,1,1.322,Ene-Mar 2018
20,2017,4,1.201,Oct-Dic 2017
21,2017,3,0.834,Jul-Sept 2017
22,2017,2,0.716,Abr-Jun 2017
23,2017,1,0.662,Ene-Mar 2017
24,2016,4,0.634,Oct-Dic 2016
25,2016,3,0.594,Jul-Sept 2016
26,2016,2,0.542,Abr-Jun 2016
27,2016,1,0.508,Ene-Mar 2016
28,2015,4,0.499,Oct-Dic 2015
29,2015,3,0.479,Jul-Sept 2015
30,2015,2,0.455,Abr-Jun 2015
31,2015,1,0.435,Ene-Mar 2015
32,2014,4,0.416,Oct-Dic 2014
33,2014,3,0.387,Jul-Sept 2014
34,2014,2,0.376,Abr-Jun 2014
35,2014,1,0.362,Ene-Mar 2014
